,problem,username,cycle_list,is_success,cycle_num_edges,has_cycle,has_long_cycle,not_has_cycle,cycle_num_edits_with_missing_clues,cycle_num_rewrite_edits,cycle_num_trivial_edits,cycle_clues,cycle_edits,has_breakout_edge,breakout_edge_tags,has_0_breakout_edge,has_m_breakout_edge,has_a_breakout_edge,has_l_breakout_edge,has_d_breakout_edge,cycle_has_only_trivial_edits,cycle_has_only_rewrite_edits,has_substantial_edits,has_missing_clues,not_has_missing_clues
252,changeSection,student17,"[(4, 11), (11, 4)]",False,2,True,False,False,2,1,1,"[{2, 3, 4}, {2, 3, 4}]","[['m2', 'a3', 'a4'], [0]]",False,[],False,False,False,False,False,False,False,True,True,False
254,changeSection,student21,"[(4, 4)]",False,1,True,False,False,0,1,1,"[{1, 2, 3, 4}]",[[0]],True,[0],True,False,False,False,False,True,True,False,False,True
257,changeSection,student3,"[(4, 4), (4, 4), (4, 4)]",False,3,True,False,False,3,3,2,"[{1, 2, 3}, {1, 2, 3}, {1, 2, 3}]","[[0], [0], ['m2', 'm3']]",False,[],False,False,False,False,False,False,True,False,True,False
259,changeSection,student4,"[(4, 4), (4, 4)]",False,2,True,False,False,2,1,1,"[{1, 2}, {1, 2, 3}]","[[0], ['m2', 'a3']]",False,[],False,False,False,False,False,False,False,True,True,False
260,changeSection,student41,"[(9, 9), (9, 9)]",False,2,True,False,False,2,2,0,"[{2, 3, 4}, {2, 3, 4}]","[['m2', 'l3', 'm4'], ['m3']]",False,[],False,False,False,False,False,False,True,False,True,False
263,assessVowels,student2,"[(3, 6), (6, 3)]",False,2,True,False,False,2,1,0,"[{2, 3}, {2, 3}]","[['l3', 'd4'], ['m3']]",False,[],False,False,False,False,False,False,False,True,True,False
266,assessVowels,student5,"[(0, 0), (0, 0)]",False,2,True,False,False,0,2,0,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[['m4'], ['m4']]",False,[],False,False,False,False,False,False,True,False,False,True
276,create_list,student36,"[(5, 5)]",True,1,True,False,False,1,1,1,"[{2, 3, 5}]",[[0]],True,['a4'],False,False,True,False,False,True,True,False,True,False
282,getSeason,student14,"[(13, 13)]",False,1,True,False,False,1,1,0,"[{2, 3, 4}]",[['m4']],False,[],False,False,False,False,False,False,True,False,True,False
283,getSeason,student24,"[(4, 4)]",False,1,True,False,False,1,1,1,[{2}],[[0]],False,[],False,False,False,False,False,True,True,False,True,False
284,getSeason,student28,"[(2, 2), (2, 2), (2, 2)]",False,3,True,False,False,3,1,0,"[{1, 2}, {1, 2}, {1, 2, 4}]","[['a1'], ['m2'], ['a4']]",False,[],False,False,False,False,False,False,False,True,True,False
286,getSeason,student46,"[(8, 8)]",True,1,True,False,False,1,1,1,"[{1, 2}]",[[0]],True,['a3'],False,False,True,False,False,True,True,False,True,False
